Text,Datetime,Language,Translation,Polarity,Subjectivity
kabul terror  mutter  eines usopfers  nennt uspr äsident biden  „dementesmistst ück ,2021-08-31 23:59:59+00:00,de,"Kabul Terror Mother of a victim called US President Biden ""DementesMists ",-0.07500000000000001,0.05
afghanistan abzug  der usarmee   auch  für joe  biden  gilt america  first ,2021-08-31 22:24:22+00:00,de,Afghanistan Departure of the Us Army also for Joe Biden is America First ,0.25,0.3333333333333333
wegen  des chaotischen afghanistan abzugs  steht joe  biden  politisch mit dem rücken zur wand  schafft  er es mit seiner ansprache  seine kritiker  zu überzeugen analyse  seiner rede  tonline  ,2021-08-31 22:24:03+00:00,de,"Because of the Chaotic Afghanistan deduction Joe Biden is politically with his back to the wall, he manages to convince his talkers with his speech analysis of his speech Tonline ",0.0,0.05
biden  nach ustruppenabzug  aus afghanistan  es  war die beste entscheidung  für amerika  via rndde,2021-08-31 22:22:07+00:00,de,Biden after US troop deduction from Afghanistan It was the best decision for America via Rindde ,1.0,0.3
nrc fantastisch  biden ,2021-08-31 21:57:16+00:00,de,NRC fantastic biden ,0.4,0.9
arthur schwartz  dumbass afghanistan disaster  biden ,2021-08-31 21:45:41+00:00,de,arthur schwartz  dumbass afghanistan disaster  biden ,0.0,0.0
agbffbga claudia  roth  wäre weit oben auf der liste  biden  auch,2021-08-31 21:18:13+00:00,de,AGBFFBGA Claudia Roth would be high on the list Biden too ,0.16,0.5399999999999999
ouch  biden  ,2021-08-31 21:07:45+00:00,de,ouch  biden ,0.0,0.0
ustwitter  völlig gespalten zwischen fanatischen trumpisten  und aufgebrachten demokraten  nach der biden rede  von heuteselten  waren die usa mehr mit selbstzerfleischung  beschäftigt als heute und  für die trump clique  gilt arrest them now ,2021-08-31 20:58:32+00:00,de,Urswitter fully cleaved between fanatical trumpists and applied democrats after the biders Speech of speeches were the USA deals more with self-purity than today and for the Trump Clique applies Arrest Them Now ,0.225,0.25
fun  fact  mit  biden  kamen auch erfahrene strafermittler  und staatsanw älte in die administration   mehrere  davon sind rico spezialisten  also experten  für organisierte  kriminalit ät und  geldw äsche bestechung   vor  ein paar tagen  wurde ein erster fall  zum thema  verdeckte ,2021-08-31 20:47:22+00:00,de,Fun Fact with biders also came experienced punish mediators and public prosecutors in the administration several of them are Rico specialists so experts for organized criminality ETT and money was bribe a few days ago a first case was hidden ,0.1404761904761905,0.2761904761904762
usa biden  afghanistan  abzug  biden  zu afghanistan abzug  es  war zeit  diesen krieg  zu beenden  eigentlich  viel zu spät daf ür trägt biden  aber keine verantwortung    ,2021-08-31 20:44:48+00:00,de,USA Biden Afghanistan Departure Biden to Afghanistan Deduction It was time to finish this war actually too late DAF carries bidene but no responsibility ,-0.15,0.35
 afghanistan  biden  fluechtlinge  usarmy ,2021-08-31 20:41:48+00:00,de,Afghanistan biden fluechtlinge usarmy ,0.0,0.0
wie  biden  sprechen kann als ginge es bei dem abzug  aus afghanistan  ausschliesslich um amerika   und nicht auch um die lage  in afghanistan  selbst um die menschen  die jetzt fliehen um die nachbarstaaten  ,2021-08-31 20:33:57+00:00,de,how biders can speak as a deduction from Afghanistan exclusively to America and not the situation in Afghanistan himself around the people who are now fleeing the neighboring states ,0.0,0.0
zara riffler  das war doch kein abzug   das war panische chaotische flucht   biden  usarmy  desperatedhouswifes ,2021-08-31 20:32:34+00:00,de,Zara Rifler That was not a trigger that was panic chaotic escape biden usarmy desperateDhouswifes ,0.0,0.0
„wir  werden nicht vergeben wir werden nicht vergessen uspr äsident biden  will auch nach dem abzug  aus afghanistan  weiter gegen den is vorgehen mehr  dazu im liveblog  ,2021-08-31 20:31:59+00:00,de,"""We will not forgive We will not forget US President Biden wants to continue after the deduction from Afghanistan against the IST. More about this in Liveblog ",0.35,0.3
biden  zu afghanistan abzug  es  war zeit  diesen krieg  zu beenden  biden  usa afghanistan ,2021-08-31 20:28:27+00:00,de,Biden to Afghanistan Deduction It was time to finish this war Biden USA Afghanistan ,0.0,0.0
afghanistan news   pr äsident biden  erklärt abzug  der usstreitkr äfte und droht terrormilizen  „wir  sind noch nicht fertig mit euch ,2021-08-31 20:24:23+00:00,de,"Afghanistan News Präsident Biden explains withdrawal of the USSTreitkranzen and threatens terrorist florias ""We are not ready yet with you ",-0.1,0.5
biden     usa hat seine interessen  in afghanistan  verfolgt und nicht frauen  befreien oder den afghanen  demokratie  aufdrängen wow  no  nation building  in afghanistan    wie  kommen bloß unsere  medien  damit klar  sie  wollen die afghanische gesellschaft  umerziehen 🤔,2021-08-31 20:16:55+00:00,de,Biden US has persecuted his interests in Afghanistan and do not free women or impose the Afghan Democracy Wow No Nation Building in Afghanistan How do our media make sure they want to rewrite the Afghan society 🤔 ,0.13333333333333333,0.8962962962962964
vater  eines toten gis zählte biden  checkte während zeremonie   seine uhr  respektlos ,2021-08-31 20:14:00+00:00,de,Father of a dead gis counted biders checked his watch during ceremony ,-0.2,0.4
eil — uspr äsident biden   ▪wir  sind in einer ernsten wettbewerb  mit china  ▪wir  treten gegen russland  in mehreren fronten  an ▪es  gibt nichts was china  und russland  mehr sehen wollen als dass die usa ein weiteres jahrzehnt  lang in afghanistan  stecken bleibt,2021-08-31 20:06:46+00:00,de,Eil - USP President Biden ▪We are in a serious competition with China ▪ We will contact Russia in several fronts ▪ nothing gives what China and Russia want to see more than that the US stays in Afghanistan a further decade ago ,0.04166666666666667,0.41666666666666663
starke  und auch für europa  wichtige rede  von joe  biden  ja  menschenrechte  stünden im zentrum  amerikanischer au ßenpolitik das  hauptziel  aber ist safety at home die innere sicherheit  der vereinigten  staaten  afghanistan ,2021-08-31 20:06:11+00:00,de,Strong and also for Europe important speech by Joe Biden Yes Human rights in the center of American außpolitik The main goal is Safety at home the internal security of the United States Afghanistan ,0.12857142857142856,0.3238095238095239
eil — uspr äsident biden   ▪der  afghanistan krieg  hat die usa für zwei jahrzehnte  lang jeden tag   millionen  dollar  gekostet ▪ich  wende mich an den iskhorasan  wir sind noch nicht fertig mit euch,2021-08-31 20:01:57+00:00,de,"Eil - Uspritäsident Biden ▪ the Afghanistan War, the US has cost millions of dollars every day for two decades ▪ Turn me to the Iskhorasan we are not finished with you ",0.0,0.0
es  gebe keinen krieg  auf niedrigem niveau  mit geringem risiko  und zu geringen kosten  hält pr äsident biden  den kritikern  des abzugs  entgegen  als  beleg  ergänzt biden  im  schnitt  würden sich in den usa pro tag   veteranen  selbst töten   usa afghanistan ,2021-08-31 20:01:45+00:00,de,"There is no war at a low level of low risk and at a low cost, Präsident Biden considers the critics of the deduction as evidence supplemented biders on average would be in the USA per day veterans themselves kill USA Afghanistan ",-0.0375,0.32499999999999996
„i respectfully disagree sagt joe  biden  zur kritik  am abzug  man  habe enorm viele menschen  gerettet mitten in einem bürgerkrieg „keiner  außer uns wäre dazu in der lage  ,2021-08-31 19:59:36+00:00,de,"""I RespectFully Disagree tells Joe Biden to criticize the trigger You have enormously saved many people in the middle of a civil war"" None other than us would be able to ",0.22916666666666666,0.5166666666666667
alle  rechtskonservativen meinungsmacher  schreiben zur biden rede   unter blaming  trump  dasgleiche wie  schreibautomaten  wenn  es nicht so traurig wäre und  die menschen  in afghanistan  interessiert da sowieso niemand mehr,2021-08-31 19:58:48+00:00,de,All legal conservative opinion makers write to the biders Speech under Blaming Trump Dashes like writing machines if it were not so sad and the people in Afghanistan are interested in anyway anymore anyway ,-0.016666666666666663,0.5666666666666667
rede  von uspr äsident biden  zu afghanistan  zusammengefasst america  first ,2021-08-31 19:57:17+00:00,de,Speech from US President Biden to Afghanistan summarized America First ,0.25,0.3333333333333333
biden  nennt afghanistan  einen fehler  einen irrtum  was  bedeutet dieser irrtum  für andere länder etwa  syrien   soldaten  würden durch suizid  in den usa sterben es  sei die beste entscheidung  für amerika   das gilt wohl nicht für die zur ückgebliebenen ua in  kabul ,2021-08-31 19:57:02+00:00,de,Biden calls Afghanistan a mistake a mistake What does this error for other countries about Syria soldiers would die by suicide in the USA The Best Decision for America This is not true for those who stayed in Kabul ,0.2333333333333333,0.4416666666666667
zdf biden  afghanistan  jedesmal wenn ich den biden  sehe denk ich der hat nen schlaganfall  wer  steuert den strohmann  eigentlich,2021-08-31 19:56:21+00:00,de,ZDF Biden Afghanistan Every time I see the biders I think he has a stroke who controls the straw man actually ,0.0,0.1
kein  wort  von pr äsident biden  über vielen die afghanischen opfer  die  auch durch den krieg  der usa in afghanistan  ums leben  gekommen sind wo  ist das mitgef ühl,2021-08-31 19:55:29+00:00,de,No word of Präsident Biden about many the Afghan victims that have come by the War of the USA in Afghanistan around the living where is the mith ,0.5,0.5
eine  gute rede  von biden  und die möglichkeit endlich abzuschließen damit mit  einem teuren für die usa nicht sinnvollen krieg   afghanistan  biden  ich  denke spätestens ab nächste woche  geht es dann endlich um innenpolitik  supreme court  voting rights  abortion  economy,2021-08-31 19:55:04+00:00,de,A good speech of biders and the opportunity to finally complete with an expensive for the USA not meaningful war Afghanistan bidene I think at the latest from next week is finally about domestic policy Supreme Court Voting Rights Abortion Economy ,0.06874999999999999,0.5249999999999999
imagine  being biden ,2021-08-31 19:53:08+00:00,de,imagine  being biden ,0.0,0.0
afghanistan  hat uns nie interessiert das  sagt uspr äsident biden  gerade sehr deutlich,2021-08-31 19:53:01+00:00,de,"Afghanistan never interested us that, USPR Essident Biden is just very clear ",0.002500000000000016,0.49916666666666665
mit  energischer stimme  ruft biden   million  dollars  a day for two decades der  uspr äsident wirkt insgesamt deutlich kraftvoller und sicherer als bei seinen vergangenen ansprachen  zu afghanistan ,2021-08-31 19:52:56+00:00,de,"With energetic voice, BIDEN MILLION DOLLARS A DAY FOR TWO DECADES The USP President acts significantly more powerful and safer than its past speeches to Afghanistan ",0.2625,0.5625
auch  uspr äsident biden  erzählt die geschichte  man habe versucht demokratie  in afghanistan  aufzubauen  nur  warum wurde dann mit warlords  zusammengearbeitet diesen  großen verbrechern ,2021-08-31 19:51:25+00:00,de,Also USP Unsidential biders tells the story you have tried to build democracy in Afghanistan only why was then worked together with warlords this big criminal ,-0.13333333333333333,0.55
pr äsident biden  sagt zum abzug  aus afghanistan    es  gehe darum eine ära zu beenden von großen militärischen eins ätzen um andere staaten  zu verändern  usa,2021-08-31 19:50:38+00:00,de,President Biden says to deduction from Afghanistan It is about finishing an era of great military one etching to change other states USA ,0.19166666666666668,0.4083333333333334
einerseits  verkündet biden  dass truppeneins ätze wie in afghanistan  nicht der sicherheit  der usa dienen andererseits ruft er den islamistischen terror gruppen  zu wir  sind noch nicht fertig mit euch wie  soll man das jetzt deuten,2021-08-31 19:50:22+00:00,de,"On the one hand, biders announces that troops of the USA as in Afghanistan do not serve the security of the USA, on the other hand, he calls the Islamist terror groups to we are not ready with you how should you interpret this now ",-0.1125,0.4375
die  republikaner  im ussenat  haben uspr äsident joe  biden  bei der evakuierungsmission  in afghanistan  wortbruch  vorgeworfen er  habe sein versprechen  nicht gehalten die truppen  erst abzuziehen wenn alle amerikaner  außer landes  gebracht worden seien ,2021-08-31 19:48:00+00:00,de,The Republicans in the USSeat have accused USP President Joe Biden at the Evacuation Mission in Afghanistan Wordbruch he has not held his promise not held to deduct the troops when all Americans had been brought out of the country ,0.0,0.0
biden  ehrlich wir  haben nur ein interesse  afghanistan  soll nie wieder missbraucht werden als plattform  für ein angriff  auf unser heimatland   interesse  an den menschen  und den konsequenzen  vor ort  hat er nicht,2021-08-31 19:44:20+00:00,de,Biden honest We only have an interest Afghanistan should never be abused as a platform for an attack on our home country interest in the people and the consequences on site he does not have ,0.3,0.95
biden  verteidigt seine entscheidung  als alternativlos  das  sagt alles über biden  was man wissen muss afganisthan ,2021-08-31 19:42:28+00:00,de,Biden defends his decision as an alternative that says everything about biders What you need to know Afganisthan ,0.0,0.0
biden  ist die größte lusche  seniler  alter dilettant  schlechteste  us regierung  seit bestimmt  jahren  biden disaster ,2021-08-31 19:41:38+00:00,de,Biden is the largest lush seniler old dilettant worst US government since certain years biden disaster ,-0.14642857142857144,0.5178571428571428
uspr äsident biden  betet für die usamerikaner  nicht  aber für die menschen  in afghanistan  das  sagt so viel,2021-08-31 19:40:32+00:00,de,USP President biders pray for the US Americans but for the people in Afghanistan says so much ,0.2,0.2
ich  muß die biden  rede  jetzt abdrehen sonst verenk ich mir die hws vor lauter kopfsch ütteln,2021-08-31 19:38:14+00:00,de,I have to turn off the biders speech now otherwise I suppose the HWS against loud head ,0.1,0.8
 ist  der uspr äsident etwa vor laufenden kameras  beim empfang  des israelischen premierministers  naftali  bennett  eingeschlafen  macht  joe  biden  da gerade ein kleines oder hört er bloß sehr aufmerksam  konzentriert zu  israel  usa ,2021-08-31 19:37:26+00:00,de,"If the USP is similar for example from running cameras when reception of the Israeli Prime Minister Naftali Bennett fell asleep, Joe Biden is just a small one or hears just attentively focused on Israel USA ",0.05000000000000001,0.5666666666666668
biden  defiant  demeanor  defending  defeat  is disgusting ,2021-08-31 19:35:57+00:00,de,biden  defiant  demeanor  defending  defeat  is disgusting ,-1.0,1.0
na  und biden  enttäuscht auch absolut heute abend  ne  ist klar  die amis  und die nato  sind an der misere  in afghanistan  absolut unschuldig ernsthaft  so  langsam wäre mal reue  angebracht  da ist ja sogar die dt regierung  ehrlicher im umgang  mit fehlern  schade ,2021-08-31 19:35:27+00:00,de,Well and biders also disappointed even tonight ne is clearly the AMIS and NATO are absolutely innocently seriously so slow on the misery in Afghanistan would be repeatedly installed because even the DT government is honest in dealing with mistakes a pity ,-0.09000000000000001,0.5266666666666666
johannes normann  welt iamjohnoliver gibt eine ganz gute antwort  darauf warum deutschland  das auf jeden fall  wollen soll und  für das publikum  hier nein  nicht biden  freundlich ,2021-08-31 19:34:15+00:00,de,Johannes Norman World Iamjohnoliver gives a very good answer Why Germany should definitely want and not bid for the audience no bidents ,0.45499999999999996,0.6400000000000001
wenn  man jo  biden  auf  geschwindigkeit  stellt gehts eigentlich  afghanistan  usa kabul taliban,2021-08-31 19:34:00+00:00,de,If you set Jo Biden at speed actually Afghanistan USA Kabul Taliban ,0.0,0.1
biden  bleibt bei seinem narrativ  man habe nicht damit gerechnet dass afghanische armee  und regierung  nach  jahren  training  nicht gekämpft hätten afghanistan ,2021-08-31 19:33:46+00:00,de,Biden remains with his narrative one did not expect that Afghan army and government had not fought after years of training Afghanistan ,0.0,0.0
jetzt  doch biden  zum truppenabzug  in afghanistan  auf ntvde,2021-08-31 19:32:47+00:00,de,Now bidents for troop deduction in Afghanistan on NTVDE ,0.0,0.0
live nach  ustruppenabzug  – biden  gibt pressekonferenz  zum ende  des krieges  in afghanistan  ,2021-08-31 19:31:53+00:00,de,Live after US grid deduction - Biden gives press conference at the end of the war in Afghanistan ,0.13636363636363635,0.5
biden  verschiebt seine rede   die nach deutscher zeit  fuer halb  angesetzt war  journalisten  wurden nach hause geschickt   bislang keine  ob  er seinen ruecktritt  stattdessen vorbereitet,2021-08-31 19:30:27+00:00,de,Biden shifts his speech that after a German time was scheduled for half-started journalists were sent home so far no whether he prepared his reign ,0.05,0.5
biden  impeach biden  ,2021-08-31 19:27:30+00:00,de,biden  impeach biden ,0.0,0.0
die  rede  von pr äsident biden  zu afghanistan  verzögert sich blog  ,2021-08-31 19:15:18+00:00,de,The speech of Präsident Biden to Afghanistan delays blog ,0.0,0.0
was  ich absolut verwerflich finde ist unsere medien  welt bild ua speien gift  und galle  für die nato deutschland  soldaten  biden  uvm also über die mission  überhaupt aber heulen rum über die afghanen   heul   abissle was anderes das  ist sowas von verr äter,2021-08-31 19:14:45+00:00,de,"What I'm absolutely reprehensome is our media world picture, etc. Pencil and bile for the NATO Germany soldiers biden and much more so about the mission but howling around the Afghans Heul Abissle what other is something of Gorge ",0.19166666666666665,0.5916666666666667
libra  hatte  biden  nicht gesagt die können die dinger  nicht fliegen,2021-08-31 18:58:23+00:00,de,Libra had not said biders that the things can not fly ,-0.4,0.9
soso da gibts leute die sagen biden wird impeacht  da scheint sich ein neues hobby zu entwickeln  präsidenten zu impeachen kicher jaja amerikaner verlieren den krieg mit anderen jetzt bekriegen sie sich gegenseitig,2021-08-31 18:58:22+00:00,de,Soso there is people saying biders will be vacuuming there seems to develop a new hobby to develop president about impecation chucky jaja Americans lose the war with others now they confuse each other ,0.005681818181818177,0.4147727272727273
ironic  is understatement  biden  afghanistan  ,2021-08-31 18:49:13+00:00,de,ironic  is understatement  biden  afghanistan ,0.2,0.9
afghanistan  taliban  biden   taliban  laden nun auch videos  hoch in denen sie usflugzeuge hubschrauber  durch afghanistan  fliegen  peinlich peinlich dass es dazu kommt 🥴 ,2021-08-31 18:32:22+00:00,de,Afghanistan Taliban Biden Taliban now also invite videos high in whom you use US aircraft helicopter by Afghanistan embarrassing embarrassing that it comes to 🥴 ,0.16,0.5399999999999999
  biden  globalists,2021-08-31 18:26:33+00:00,de,biden  globalists ,0.0,0.0
der  biden  ist ja wirklich im asch   nicht  nur dass er amerikaner  in kabul  zurückgelassen hat nein er hat auch die servicehunde  des milit ärs den taliban  ausgeliefert ich  glaub dem werden jetzt auch noch die tiersch ützer aufs dach  steigen diese  herzlosigkeit  ist ja obszön,2021-08-31 18:15:23+00:00,de,the biders is really in the ash not only that he has left American in Kabul no he has also delivered the service dogs of the Milit Päs the Taliban I believe that the Animals can now rise to the roof this heartlessness is yes Obszön ,0.05,0.3
die ard in deutschland überträgt heute schon wieder eine live ansprache  des usa pr äsidenten biden   das ist völlig logisch denn die usa sind ja immer noch die absoluten kolonialherren  in deutschland ,2021-08-31 18:09:09+00:00,de,The ARD in Germany transfers today a live speech of the United States Präsident Biden This is completely logical because the USA are still the absolute colonial hostels in Germany ,0.19545454545454546,0.5499999999999999
der  usklimabeauftragte  john kerry  ist in den nächsten tagen  zu gespr ächen in japan  und china    blog   klimawandel  biden ,2021-08-31 18:01:00+00:00,de,The US Climate Appreciation John Kerry is in the next few days in Japan and China Blog Climate Change Biden ,-0.1,0.05
und  zur gleichen zeit  überlässt biden  afganistan  den religiösen fanatikern  der taliban  biden delivers  to trumps taliban  das  mittelalter  ist zurück  sp äte begnadigungen  in den usa die  hexen  von salem  ,2021-08-31 17:55:31+00:00,de,"And at the same time, Biden Afganistan leaves the religious fanatics of the Taliban Biden Delivers to Trumps Taliban The Middle Ages is back Speeds Begins in the USA The witches of Salem ",0.0,0.09375
ist  biden  echt,2021-08-31 17:54:08+00:00,de,Is biden real ,0.2,0.30000000000000004
was  für eine schwache analyse  der  abzug  soll biden sogar nützen der  soll sich mal die umfragewerte  in den usa  ansehen zdfheute,2021-08-31 17:10:19+00:00,de,What a weak analysis of the trigger is supposed to use biders even use the survey values in the USA zdf still ,-0.375,0.625
liberalism is amental disorder  biden disaster  biden  ,2021-08-31 17:06:31+00:00,de,liberalism is a mental disorder biden disaster biden ,-0.1,0.2
afganistan  ist durch was  versaut biden  als nächstes  china joe  fake president     ,2021-08-31 16:32:21+00:00,de,Afghanistan is caused by what stimulates biders next China Joe Fake President ,-0.25,0.5
die  usa und ihre verb ündeten konnten  zivilisten  aus afghanistan  evakuieren   blog   biden  taliban  ,2021-08-31 16:11:00+00:00,de,The USA and your verb had been able to evacuate civilians from Afghanistan Blog Biden Taliban ,0.5,0.625
der  rep abgeordnete  cawthorn  der über seinen lebenslauf  mehrfach gelogen hat biden  habe trump  die wahl  gestohlen blutige gewalt  stünde bevor amp er müsse leider zu waffen  greifen wenn die das wahlsystem  weiterhin betrügerisch sei er  läuft auch bewaffnet im kongress  auf ,2021-08-31 14:14:51+00:00,de,The REP MEP Cawthorn who has lied several times about his resume bidents had trump the choice stolen bloody violence would be before AMP unfortunately had to raise weapons when the election system continues to be fraudulent he is also armed in congress ,-0.43333333333333335,0.6333333333333333
tagesschau ja  unterschiede sind da keine brüste und ein  bein aber  da kein kanzler wirkliche macht hat wird auch scholz  nur das machen was ihm gesagt wird wie biden  auch ihr  politiker  seid doch alle nur puppen von medien atlantikbr ücke ohne  wirklichen freien willen für eure bürger,2021-08-31 14:13:46+00:00,de,Tageschau yes Differences are there no breasts and a leg but there is no chancellor's real power will also make Scholz just do what he is told like biders also their politicians are all only dolls of media Atlantic border without real free will for your citizens ,0.26666666666666666,0.7666666666666666
biden afghanistan disaster  afghanistan  afghanistan  impeach biden  ,2021-08-31 14:05:14+00:00,de,biden afghanistan disaster  afghanistan  afghanistan  impeach biden ,0.0,0.0
die  taliban  bewundern ihre weihnachtsgeschenke  von onkel  biden  ⬇⬇⬇ ,2021-08-31 13:05:34+00:00,de,The Taliban admire her Christmas presents of Uncle Biden ⬇⬇⬇ ,0.0,0.0
biden  spricht wie baerbock  ,2021-08-31 12:55:31+00:00,de,Biden speaks like Baerbock ,0.0,0.0
morgen  abend  gibt der ehemalige berater  von donald  trump  und george  w bush  john  bolton  amb john bolton  seine einsch ätzung zur rolle  der usa in der weltpolitik  und zur aktuellen strategie  biden ​s ab  maischberger die woche um  h in das erste   afghanistan  kabul  ,2021-08-31 12:50:03+00:00,de,Tomorrow evening gives the former adviser of Donald Trump and George W Bush John Bolton Amb John Bolton his assessment on the role of the USA in world politics and the current strategy Biden S from Maischberger the week at H in the first Afghanistan Kabul ,0.08333333333333333,0.24444444444444446
heute  um  uhr  mesz will joe  biden  zum ende  von amerikas  längstem krieg  reden   warum  der afghanistan abzug  ein sieg  für china  € russland  ist  welt   ,2021-08-31 12:13:27+00:00,de,Today to watch Mesz Joe Biden wants to talk to the end of America's longest war Why the Afghanistan deduction a victory for China € Russia is world ,0.2,0.1
biden  surrenderer in chief  afghanistan disaster  ,2021-08-31 12:03:09+00:00,de,biden  surrenderer in chief  afghanistan disaster ,0.0,0.0
