Text,Datetime,Language,Translation,Polarity,Subjectivity
ojal á te pudras en el infierno familiares  de los  arremetieron contra biden  en ceremonia  la  prensa  de honduras   isis  estados unidos  familiaresmilitares  kabul  biden  ,2021-08-31 23:52:36+00:00,es,Hopefully you rot yourself in the family's hell of those lashed against Biden in Ceremony The Press of Honduras Isis United States FamiliesMilitary Kabul Biden ,0.0,0.0
biden  califica de éxito extraordinario la retirada de las tropas estadounidenses de afganist án ,2021-08-31 23:42:17+00:00,es,Biden qualifies of extraordinary success the withdrawal of US Afghanist troops ,0.31666666666666665,0.5
ojal á te pudras en el infierno familiares  de los  arremetieron contra biden  en ceremonia  la  prensa  de honduras   isis  estados unidos  familiaresmilitares  kabul  biden  ,2021-08-31 23:42:13+00:00,es,Hopefully you rot yourself in the family's hell of those lashed against Biden in Ceremony The Press of Honduras Isis United States FamiliesMilitary Kabul Biden ,0.0,0.0
▶el  gobierno de biden  está dando un paso inicial para evaluar cómo el cambioclimático podría dañar los mercados financieros     ,2021-08-31 23:40:20+00:00,es,▶ The Biden Government is taking an initial step to evaluate how the change is damaged financial markets ,0.0,0.0
   presidente  biden  hablará sobre la salida de eeuu de afganist án eeuu afganist án biden   ,2021-08-31 23:40:02+00:00,es,President Biden will talk about the US Departure of Afghanist US Afghanist spgan ,0.0,0.0
eeuu joe  biden  nuestra  presencia militar en afganist án ha terminado ,2021-08-31 23:37:03+00:00,es,US Joe biden our military presence in Afghanistan has finished ,-0.1,0.1
destacadas  biden  eeuu presidente biden  comprometido a sacar de afganist án a todos los estadounidenses que así lo deseen  vía qpev ,2021-08-31 23:35:00+00:00,es,Outstanding Biden US President Biden committed to take out of Afghanist to all Americans who wish that they wish via Qpev ,0.5,0.875
biden  sobre afganist án ten íamos dos opciones quedarnos o escalar  ,2021-08-31 23:32:35+00:00,es,BIDEN ON AFGANIST ANS TEN WE WOULD TWO OPTIONS STACK OR SPAIN ,0.0,0.0
ojal á te pudras en el infierno familiares  de los  arremetieron contra biden  en ceremonia  la  prensa  de honduras   isis  estados unidos  familiaresmilitares  kabul  biden  ,2021-08-31 23:29:37+00:00,es,Hopefully you rot yourself in the family's hell of those lashed against Biden in Ceremony The Press of Honduras Isis United States FamiliesMilitary Kabul Biden ,0.0,0.0
éxito extraordinario así biden  caracterizó su operación de retirada de afganist án y argumentó que no era posible hacerlo de otra manera  ser á que el país piensa lo mismo   the  white  house  ,2021-08-31 23:21:19+00:00,es,Extraordinary success So Biden characterized her withdrawal operation from Afghanist and argued that it was not possible to do it otherwise to be that the country thinks the same The White House ,0.12666666666666665,0.425
your  daily dose biden  ,2021-08-31 23:20:52+00:00,es,your  daily dose biden ,0.0,0.0
ahstories  ahs biden  america last ,2021-08-31 23:18:27+00:00,es,ahstories  ahs biden  america last ,0.0,0.06666666666666667
la  duda es ¿tanta incompetencia es sin querer o queriendo quien  se beneficia que hay detrás qué agenda se está cumpliendo biden  biden war crimes  biden lied people died  usaen espanol  eeuu usa usarmy  ,2021-08-31 23:17:30+00:00,es,Doubt is. So much incompetence is unintentionally or wanting who benefits that there is behind what agenda is being fulfilled biden biden war crimes biden lied people died usaen spanish usa uses usemy ,-0.06666666666666667,0.3
yo  no iba a extender esta guerra eterna y no iba a prolongar una salida eterna sentenció biden  con tono firme elcaribe biden  afganist án eeuu ,2021-08-31 23:15:29+00:00,es,I was not going to extend this eternal war and it was not going to prolong an eternal exit sentenced biden with firm tone Elcaribe biden Afghanist AR ,-0.2,0.4
afganistán eeuu ue otan  resumen  agosto   dep  defensa  eeuu desconocería rápidos ataques guerrillas taliban  y repentino ataque kabul  sorprendió  trabajadores embajada  eeuu biden  y negociadores doha  pidieron no atacaranturqu ía ofertó asegurar kabul  aeropuerto ,2021-08-31 23:13:51+00:00,es,Afghanistan USA UE Otan Abstract August DEP Defense US IDerganer Quick Guerrilla attacks Taliban and sudden attack Kabul surprised Workers Embassy US Biden and negotiators Doha requested no Atacaranturkey offered Ensure Kabul Airport ,0.14444444444444446,0.6333333333333333
taliban jihad biden pandemia noticias podcast  ivoox  ,2021-08-31 23:13:07+00:00,es,Taliban Jihad Biden Pandemic News Podcast Ivoox ,0.0,0.0
🟫biden  elogia éxito extraordinario de la evacuación de eeuu en afganist án  todos  los detalles aquí ⬇⬇  ,2021-08-31 23:12:19+00:00,es,🟫Biden praise Extraordinary success of the evacuation of US in Afghanist Add all details here ⬇⬇ ,0.31666666666666665,0.5
🟫biden  elogia éxito extraordinario de la evacuación de eeuu en afganist án ,2021-08-31 23:11:54+00:00,es,🟫biden praised extraordinary success of the US evacuation in Afghanist an ,0.31666666666666665,0.5
eeuu  biden  vuelve a defender su decisión de retirada y advierte seguiremos  luchando contra el terrorismo en afganist án y otros países ,2021-08-31 23:10:02+00:00,es,US Biden returns to defend his withdrawal decision and warn will continue to fight against terrorism in Afghanist and other countries ,-0.125,0.375
ojal á te pudras en el infierno familiares  de los  arremetieron contra biden  en ceremonia  la  prensa  de honduras   isis  estados unidos  familiaresmilitares  kabul  biden  ,2021-08-31 23:07:10+00:00,es,Hopefully you rot yourself in the family's hell of those lashed against Biden in Ceremony The Press of Honduras Isis United States FamiliesMilitary Kabul Biden ,0.0,0.0
facebook  suspende la cuenta de instagram  de la madre del marine que culpó a biden  de la muerte de su hijo en el ataque terrorista en kabul ,2021-08-31 23:02:53+00:00,es,Facebook suspends the Instagram Account of Marine's mother who blamed Biden from the death of her son in the terrorist attack in Kabul ,0.0,0.0
no  sé ustedes que opinan pero biden  está quedando a deber,2021-08-31 23:00:54+00:00,es,I do not know what they think but biden is going to duty ,0.0,0.0
biden  defiende su decisión de retirar a las tropas estadounidenses de afganist án la  diplomacia estadounidense busca acuerdos con los talibanes para luchar contra el terrorismo ¿qu é esperar lo  analizamos con el exdiplomático estadounidense amb hugo ll   hoy  et en  ,2021-08-31 22:59:46+00:00,es,"Biden defends his decision to withdraw US-American troops from Afghanist American diplomacy seeks agreements with the Taliban to fight terrorism What to expect, we analyze it with the US Exdiploma Amb Hugo ll today ET in ",0.0,0.0
int érprete afgano que rescató a biden  en afganist án sálveme y a mi familia  la  prensa  de honduras   biden  estados unidos  kabul  afganist án  ,2021-08-31 22:54:11+00:00,es,Afghan interpreter who rescued Biden in Afghanistan Save me and my family Honduras press Biden United States Kabul Afganist ,0.0,0.0
mundo    veinticuatro  horas después de la salida del último avión estadounidense de kabul  biden  defendió enérgicamente su decisión de poner fin a la guerra más larga de estados  unidos     biden  afganist án eeuu el nacional rdn ⁣,2021-08-31 22:49:11+00:00,es,World twenty-four hours after the departure of the last American plane of Kabul Biden vigorously defended his decision to end the Longest War of the United States Biden Afghanist AR The National RDN ⁣ ,0.0,0.03333333333333333
internacional   celebra  biden  fin de guerra en afganist án el  mandatario norteamericano dijo que toda vez que ya se culminó el plazo para la salida de afganist án también la guerra con la nación de medio  oriente  ha terminado  eeuu noticias énfasis  ,2021-08-31 22:38:28+00:00,es,International celebrates Biden End of War in Afghanist The American president said that whenever he has already completed the deadline for the departure of Afghanist Also the war with the nation of the Middle East has finished USA News Emphasis ,0.0,0.0
joe  biden  asegura que la evacuación de afganist án ha sido un éxito extraordinario  ,2021-08-31 22:35:11+00:00,es,Joe Biden says that the evacuation of Afghanist has been an extraordinary success ,0.31666666666666665,0.5
✅biden  habló sobre la salida de las tropas estadunidenses de afganist án asegura que fue lo mejor para estados unidos   ➡  mundo  oliva noticias  multimedios ,2021-08-31 22:32:58+00:00,es,✅Biden spoke about the exit of the United States AFGANIST TROPS Ensures that it was the best for the United States ➡ Olive World Multimedia News ,1.0,0.3
en  afganistan  eeuu tuvo la opción entre salida o escalada militar dice biden    ,2021-08-31 22:22:31+00:00,es,In Afghanistan US had the option between exit or military climbing says Biden ,-0.1,0.1
biden  elogia el éxito extraordinario de la misión de evacuación de eeuu de afganistan    ,2021-08-31 22:20:48+00:00,es,Biden praises the extraordinary success of the US evacuation mission of Afghanistan ,0.31666666666666665,0.5
joe  biden  hubo que elegir entre la retirada o la escalada militar en afganist án ,2021-08-31 22:18:47+00:00,es,Joe Biden had to choose between the withdrawal or military climbing in Afghanist ,-0.1,0.1
el  gobierno de eeuu está en desbandada de todos los frentes geopolíticos y eso se refleja en la nueva postura de la oposición venezolana que se ve obligada a buscarse la vida por sus propios medios y participar en las elecciones venezolanas sin pataleos bye  bye usa biden ,2021-08-31 22:18:16+00:00,es,The US government is in disbandment of all geopolitical fronts and that is reflected in the new posture of Venezuelan opposition that is forced to look for life by its own means and participate in Venezuelan elections without patalems bye bye uses biden ,0.14545454545454542,0.5515151515151515
biden  genocide  ☠  ,2021-08-31 22:15:56+00:00,es,biden  genocide  ☠ ,0.0,0.0
biden  la  decisión era «retirarse o escalar» la presencia en afganist án  ,2021-08-31 22:15:07+00:00,es,"Biden the decision was ""Retiring or climbing"" the presence in Afghanist ",0.0,0.0
guardiacivil la  administraci ón biden  ha abandonado a sus perros en afganistan  no  os he visto muy afectados dejo  esto por aquí para que lo sepáis,2021-08-31 22:10:01+00:00,es,"Guardiac Administration Biden has abandoned his dogs in Afghanistan I have not seen you very affected, I leave this here for you to know it ",0.2,0.3
la  administraci ón biden  los ha dejado ab andonados en afganistan   son  heroes americanos que debieron ser llevados a su casa si  trump  hubiera hecho esto eh  save america  ,2021-08-31 22:01:46+00:00,es,The Biden Administration has left them abandoned in Afghanistan are American heroes who had to be taken home if Trump had done this Eh Save America ,0.0,0.0
biden  conjured a plague ,2021-08-31 22:01:24+00:00,es,biden  conjured a plague ,0.0,0.0
la  vida no es la que uno vivió sino la que uno recuerda y cómo la recuerda para contarla afganistan   biden   historia  ,2021-08-31 22:01:14+00:00,es,Life is not the one that one lived but the one that one remembers and how he remembers it to tell her Afghanistan Biden History ,0.0,0.0
biden  advierte que el daño de ida  es masivo  ,2021-08-31 21:56:33+00:00,es,Biden warns that the one way damage is massive ,0.0,1.0
biden  defendió la retirada de afganist án pero advirtió a los terroristas todav ía no terminamos con ustedes  ,2021-08-31 21:52:25+00:00,es,Biden defended the withdrawal of Afghanist but warned the terrorists that we still do not end with you ,0.0,0.0
joe  biden  se pronunció sobre afganist án estados  unidos   abandona afganist án  reformado por la guerra dijo  ,2021-08-31 21:41:32+00:00,es,Joe Biden pronounced on Afghanistan United States abandons Afghanist reformed by the war said ,0.0,0.0
biden  advierte que el daño de ida  es masivo  ,2021-08-31 21:38:00+00:00,es,Biden warns that the one way damage is massive ,0.0,1.0
real dean cain  jack posobiec  biden afghanistan disaster  biden abandoned americans ,2021-08-31 21:29:26+00:00,es,real dean cain  jack posobiec  biden afghanistan disaster  biden abandoned americans ,0.2,0.30000000000000004
joe  biden  hubo que elegir entre la retirada o la escalada militar en afganist án ,2021-08-31 21:28:28+00:00,es,Joe Biden had to choose between the withdrawal or military climbing in Afghanist ,-0.1,0.1
el  presidente de eeuu joe  biden  aseguró este martes que las tropas estadounidenses en los últimos días en afganist án ejecutaron una misión de piedad y no de guerra con la evacuación de miles de afganos vulnerables biden  noticias revista mercado  ,2021-08-31 21:26:12+00:00,es,The president of the US Joe Biden said on Tuesday that US troops in the last days in Afghanist executted a mission of piety and not war with the evacuation of thousands of vulnerable Afghans biden news magazine market ,-0.25,0.2833333333333333
biden  presume evacuación de afganist án  nota  ,2021-08-31 21:22:40+00:00,es,Biden presumes Afghanistan evacuation Note ,0.0,0.0
pero  qué tal biden  adoptando perrito de la calle en campaña les  encantan las telenovelas en serio ,2021-08-31 21:17:23+00:00,es,but how much biden adopting street puppy in campaign they love telenovelas seriously ,0.12222222222222222,0.48888888888888893
laura lou usa biden lied people died  biden disaster  biden war crimes  biden   ,2021-08-31 21:16:19+00:00,es,laura lou usa biden lied people died  biden disaster  biden war crimes  biden ,0.0,0.0
biden  defiende con ferocidad y sin autocrítica la salida de afganist án ,2021-08-31 21:13:13+00:00,es,Biden defends ferociously and without self-criticism the output of Afghanist ,0.0,0.0
actualidad   biden  defiende que la evacuación estadounidense de afganist án ha sido un éxito extraordinario                                                          ,2021-08-31 21:08:19+00:00,es,Actuality Biden defends that the US evacuation of Afghanistan has been an extraordinary success ,0.31666666666666665,0.5
te  credo  biden  afghanistan  ,2021-08-31 21:01:53+00:00,es,I believe Biden Afghanistan ,0.0,0.0
la  portada de hoy del nypost joe  biden  es una desgracia para la nación y una ofensa a nuestros héroes caídos biden lied people died  biden is adisgrace  biden must go  biden war crimes  biden must resign  afghanistan disaster  ,2021-08-31 21:01:07+00:00,es,Today's cover of the Nypost Joe Biden is a misfortune for the nation and an offense to our fallen heroes Biden Lied People Died Biden is Adisgrace Biden Must Go Biden War Crites Biden Must Resign Afghanistan Disaster ,0.0,0.0
y  biden  comenz ó la destrucción     del imperio americano   en favor  de  y  digamos todo   ,2021-08-31 20:56:24+00:00,es,and biden began the destruction of the American Empire in favor of and say everything ,0.0,0.0
biden  defendió la retirada de afganist án ten íamos dos opciones quedarnos o escalar  ,2021-08-31 20:54:10+00:00,es,"Biden defended the withdrawal of Afghanist Ten, two options stay or climb ",0.0,0.0
actualidad   biden  defiende que la evacuación estadounidense de afganist án ha sido un éxito extraordinario                                                          ,2021-08-31 20:52:58+00:00,es,Actuality Biden defends that the US evacuation of Afghanistan has been an extraordinary success ,0.31666666666666665,0.5
nos yep  een enorm succes biden   loser ,2021-08-31 20:45:37+00:00,es,NOS YEP a huge success Biden Loser ,0.35000000000000003,0.45
wow  biden  está a un discurso de alcanzar los niveles de cinismo de un político sudamericano promedio ,2021-08-31 20:42:09+00:00,es,Wow Biden is a speech to reach the cynicism levels of a average South American politician ,-0.016666666666666663,0.4666666666666666
biden  aseguró que las tropas estadounidenses en los últimos días en afganist án ejecutaron «una misión de piedad» y «no de guerra» con la evacuación de miles de afganos vulnerables en una situación llena de riesgos  ,2021-08-31 20:38:00+00:00,es,"Biden assured that US troops in the last days in Afghanist executted ""a mission of piety"" and ""not war"" with the evacuation of thousands of vulnerable Afghans in a situation full of risks ",-0.05000000000000001,0.37222222222222223
unos   millones de estadounidenses  el  de la población  ha nacido con su país en guerra en afganist án pero se ha terminado sin que a nadie le importara afghanistan  afganistan  taliban  biden  kabul    ,2021-08-31 20:36:03+00:00,es,About millions of Americans that of the population was born with their country at war in Afghanist but it has ended no one I would mind Afghanistan Afghanistan Taliban Biden Kabul ,0.0,0.0
destacadas  biden  eeuu presidente biden  comprometido a sacar de afganist án a todos los estadounidenses que así lo deseen  vía qpev ,2021-08-31 20:34:55+00:00,es,Outstanding Biden US President Biden committed to take out of Afghanist to all Americans who wish that they wish via Qpev ,0.5,0.875
los  mismos que decían que trump  era la marioneta de putin  no rímeme ningún problema en aceptar que biden  se fue de los talibán y de sus promesas y viceversa afghanistan  taliban  terror  biden  putin  trump ,2021-08-31 20:34:21+00:00,es,The same ones who said that Trump was the Putin puppet does not laugh any problem in accepting that Biden left the Taliban and his promises and vice versa Afghanistan Taliban Terror Biden Putin Trump ,-0.049999999999999996,0.075
ojal á te pudras en el infierno familiares  de los  arremetieron contra biden  en ceremonia  la  prensa  de honduras   isis  estados unidos  familiaresmilitares  kabul  biden  ,2021-08-31 20:33:06+00:00,es,Hopefully you rot yourself in the family's hell of those lashed against Biden in Ceremony The Press of Honduras Isis United States FamiliesMilitary Kabul Biden ,0.0,0.0
de  un país en guerra a otro en conflicto los  afganos que acogerá colombia  por mandato de biden    hay que vacunarse  ,2021-08-31 20:32:54+00:00,es,of a country at war to another in conflict the Afghans who will host Colombia by biden mandate must be vaccinated ,0.0,0.0
la  responsabilidad d estas muertes la tiene biden  biden war crimes  ,2021-08-31 20:30:50+00:00,es,The responsibility of these deaths has Biden Biden War Crimes ,0.0,0.0
evacuaci ón de afganist án fue una misión de piedad y no de guerra biden    internacional    enfoque  noticias   ,2021-08-31 20:25:47+00:00,es,Afghanistan evacuation was a mission of piety and not war biden international focus news ,0.0,0.0
 noticias hoy eeuu agosto  los tienen en la mira no se esperaban es  a través de you tube  trump  biden  eeuu retirada usa  talibanes  afganistan  kabul ,2021-08-31 20:23:54+00:00,es,News today USA August have them in the sights were not expected is through you tube trump biden USA withdrawal use Taliban Afghanistan Kabul ,0.05,0.4
erika dlv debería postularse para una próxima designación de biden como embajadora para afganistan   no  se le olvide la  burka   ,2021-08-31 20:20:42+00:00,es,Erika DLV should apply for a next designation of Biden as Ambassador for Afghanistan Do not forget the burka ,0.0,0.0
los  mundos de biden  ,2021-08-31 20:17:28+00:00,es,The Biden Worlds ,0.0,0.0
