Text,Datetime,Language,Translation,Polarity,Subjectivity
le  pr ésident macron  qui adore tant bidence  dernier en revanche aucune empathie pour les afgans restésceux ayant travaillé avecles occidentaux dont notamment les etats unis  lam érique sans état dâme face au ventre mou quest leurope  si incarné par le pr ésident macron ,2021-08-31 23:53:20+00:00,fr,"The Président Macron who loves, lastly, on the other hand, on the other hand, for the restless Afgans who have worked Westerly with the United States, including the United States Unless Face of the Soft Stomme, if incarnated by the Président Macron ",-0.0375,0.29166666666666663
afghanistan  mohammed  linterprète afghan qui a aidé à sauver biden  en  laissé pour compte après la sortie des étatsunis  actuellement  bloqué en afghanistan  et se cachant des talibans il lance un appel à la maison  blanche   ne  moubliez pas ici ,2021-08-31 23:46:47+00:00,fr,Afghanistan Mohammed Linterpret Afghan who helped save biden left behind after the exit of the United States currently blocked in Afghanistan and hiding Taliban he throws a call to the White House Wish out here ,-0.1,0.275
afghanistan  usa  les  etats unis  avaient le choix entre «le départ ou lescalade» militaire se défend joe  biden  talibans  taliban  ,2021-08-31 22:46:24+00:00,fr,"Afghanistan USA The United States had the choice between ""the departure or lascalade"" military defends Joe Biden Taliban Taliban ",-0.1,0.1
biden talibans  que chacun assume ses prises de positions après tout élire un sénile dégénéré avant de passer le flambeau à sa seconde à la maison blanche  relevait aussi du « consentement éclairé » 🤡  ,2021-08-31 22:37:58+00:00,fr,"Taliban biden that everyone assumes his positions after electing a degenerated senile before passing the torch to his second to the White House also raised ""informed consent"" 🤡 ",0.0,0.0
lci la  meilleure décision pour lam érique  biden  justifie le retrait dafghanistan   défense  pour  sa première prise de parole à la suite du départ des troupes américaines du sol afghan le président joe  bien  a balayé  ,2021-08-31 22:21:24+00:00,fr,LCI The best decision for Lam Erie Biden justifies the withdrawal Dafghanistan Defense for his first speaker following the departure of American Afghan soil troops The President Joe has swept ,0.3125,0.18333333333333332
patrickedery jost  rester  plus longtemps le  deal quavait negotié trump  a permis aus usa de sortir et biden  a raison de le suivre les  usa se sont trompés sur la résistance de larmée afghane contrairement aux fran çais qui ont justement apprécié la situation,2021-08-31 21:49:48+00:00,fr,Patrickedery Jost stay longer the Deal quavaity negotiated Trump allowed AUS US to go out and biden is right to follow him the US were mistaken on the resistance of afghan wedding unlike French who have precisely appreciated the situation. ,0.1619047619047619,0.2119047619047619
biden  le retrait des troupes américaines de lafghanistan  marquait non seulement la fin de la guerre mais aussi la fin de lépoque dinterventions militaires américaines visant à changer dautres pays  les  caniches de lam ériquebhl en pls la  fin des guerres néocoloniales,2021-08-31 21:47:45+00:00,fr,biden the withdrawal of American troops from Lafghanistan not only marked the end of the war but also the end of the US military interventions aimed at changing other countries the Poles de Lam Ériebhl in pls the end of neocolonial wars ,-0.025,0.41500000000000004
afghanistan   joe  biden  loue lextraordinaire succès de la mission dévacuation dafghanistan  biden  inauguration  investiture  ,2021-08-31 21:44:04+00:00,fr,Afghanistan Joe Biden Rent Lextraordinary Success of Mission Devacuation Dafghanistan Biden Inauguration Inauguration ,0.3,0.0
pour  biden  le retrait de lafghanistan  marque la fin de linterventionnisme américain  ➡  ,2021-08-31 21:43:03+00:00,fr,For Biden the withdrawal of Lafghanistan marks the end of American interventionitionism ➡ ,0.0,0.0
le  télégramme « le  départ ou lescalade militaire »  biden  explique le retrait américain dafghanistan   joe  biden  sest exprimé ce mardi pour expliquer les raisons du retrait des troupes américaines dafghanistan  où les  ,2021-08-31 21:42:09+00:00,fr,"The telegram ""The departure or the military laska"" biden explains the American withdrawal Dafghanistan Joe Biden has expressed this Tuesday to explain the reasons for the withdrawal of American troops Dafghanistan where the ",-0.03333333333333333,0.03333333333333333
le  huffington  post   joe  biden  assume le retrait américain dafghanistan   étatsunis  sur  un ton déterminé joe  biden  a défendu ce mardi  août sa décision de mettre fin àla guerre américaine en afghanistan   malgré les  ,2021-08-31 21:42:07+00:00,fr,"The Huffington Post Joe Biden assumes the American withdrawal Dafghanistan fumes on a specific tone Joe Biden defended on Tuesday, his decision to put an end to the American war in Afghanistan despite the ",0.0,0.041666666666666664
menteur  biden  qui ose dire quil ne faut pas craindre les talibans ,2021-08-31 21:32:46+00:00,fr,biden liar who dares to say that we should not fear the Taliban ,0.0,0.0
covid  énorme info  deux très hauts responsables de la fda démissionnent devant lempressement de ladministration biden  à injecter une  dose décision qui ne repose sur aucun argument scientifique ,2021-08-31 21:27:59+00:00,fr,Covid Huge info Two very high officials of the FDA resign in front of the administration Biden to inject a decision decision that is not based on any scientific argument ,0.30400000000000005,0.8009999999999999
jesse bwatters  nice  amazon quiz  biden  l ,2021-08-31 21:26:10+00:00,fr,jesse watters nice amazon quiz biden l ,0.6,1.0
lci ruthelkrief cat jentile  lauhaim trinquand ça ne vous est pas  venu à lesprit pas à lesprit que entre temps il  cad le pr des usa biden  a eu une urgence dont on ne peut vous parler  pendant que vous journalistes faites le bavardage du café du commerce ,2021-08-31 21:25:36+00:00,fr,LCI RUTHELKRIEF Cat Jentile Lauhaim Trinquand did not come to the Spirit not to the mind that in the meantime he knew the pr des des USa biden had an emergency that you can not talk to you while you journalists make chatter of coffee chat ,0.0,0.0
la  chute de kaboul ou le désastre de biden estelle  un autre désastre de varus  franceinfo cnews bfmtv lcp,2021-08-31 21:19:21+00:00,fr,The fall of Kabul or the disaster of Biden Estelle Another disaster of Varus FranceInfo CNEWS BFMTV LCP ,0.0,0.0
pr ès de  heures après la fin de la mission américaine à kaboul  joe  biden  sest adressé à la nation  lors dun discours solennel afghanistan  biden  kaboul  talibans  ,2021-08-31 21:09:04+00:00,fr,for hours after the end of the US mission in Kabul Joe Biden has sent to the nation during a solemn speech Afghanistan Biden Kabul Taliban ,0.0,0.0
 flash  joe  biden  a qualifié lopération dévacuation américaine en afghanistan  de succès extraordinaire allocution kabul ,2021-08-31 21:08:10+00:00,fr,Flash Joe Biden Qualified American Devacuation Operation in Afghanistan of Extraordinary Success Speech Kabul ,0.2111111111111111,0.3333333333333333
christophe berc  le figaro  tout  ça porte un nom  biden,2021-08-31 21:08:05+00:00,fr,christophe ber l figaro all wears a biden name ,0.0,0.0
court  toujours biden  ils te rattraperont ,2021-08-31 21:06:39+00:00,fr,always runs biden they will catch you up ,0.0,0.0
 flash le  président joe  biden  menace létat islamique    nous  nen avons pas terminé avec vous   🤦‍♂🤦‍♂🤦‍♂🤣🤣🤣🤣🤣🤣🤣🤣 allocution  ,2021-08-31 21:00:59+00:00,fr,Flash President Joe Biden Threatening Islamic State We did not finish with you 🤦♂🤦♂🤦♂🤣🤣🤣🤣🤣🤣🤣🤣 Address ,0.0,0.0
biden  a lair totalement dépassé dans ce discours que jai écouté il donne une sale image des us ,2021-08-31 20:57:44+00:00,fr,biden looks totally exceeded in this speech I listened to it gives a dirty image of the us ,-0.3,0.775
biden  critique larmée afghane et trump  après le retrait désordonné de kaboul  ,2021-08-31 20:56:03+00:00,fr,Critical Critic Biden Afghan and Trump after the disordered withdrawal of Kabul ,0.0,0.8
qofficiel  tmctv  analyse  discours biden  du   je  vous avoue avoir trouvé le discours de biden  bien lu et interprété  dans  le même temps retournement total des mérdias français qui après avoir protégé et cajolé biden  contre lautre francmaçon père des vaccins trump   suite   ,2021-08-31 20:47:51+00:00,fr,QOFFICIAL TMCTV Analysis Speech Biden I admits that I have found Biden's speech well read and interpreted at the same time Total reversal of the French Mérèdias who after protected and Cajolo Biden against the other Francade Father of Vaccines Trump Suite ,-0.03125,0.3125
apr ès le discours de biden  jai limpression que la géopolitique mondiale est dans un tournant de lampleur de celui daprès la chute du mur de berlin  en  afrique  ce genre de tournant a tendance à provoquer des recasting de qui est influent dans quoi et où,2021-08-31 20:45:05+00:00,fr,After the speech of Biden I was limping that the global geopolitics is in a turntable of the one according to the fall of the Wall of Berlin in Africa this kind of turn tends to provoke recasting of which is influential in what and where ,0.3,0.45
