Text,Datetime,Language,Translation,Polarity,Subjectivity
biden  wystąpił ponownie powtórzył co zawsze w skróciegtgt  operacja wycofywania z afganistan  to wielki sukces  winę ponosi trump   tak nie pomyłka mniej więcej tak uparcie powtarza że to się logiki nie trzyma inna rzecz ,2021-08-31 23:05:16+00:00,pl,Biden once again repeated what always in the abbreviate the operation of withdrawal from Afghanistan is a great success blame a trump so not a mistake more or less so stubbornly repeats that this logic does not hold a different thing ,0.2866666666666667,0.3833333333333333
biden  podczas dzisiejszego przemówienia wycofanie z afganistanu  nazwał extraordinary success nadzwyczajny  sukces to dla niego około  ofiar zamachu w kabulu  w tym  żołnierzy amerykańskich czy może pozostawienie sprzętu wojskowego za  mld  biden lied people died  biden  ,2021-08-31 22:10:07+00:00,pl,Biden During today's speech withdrawal from Afghanistan called Extraordinary Success Extraordinary success is for him about victims of the attack in Kabul including American soldiers or may leave military equipment for Biden Lied People Died Biden ,0.19444444444444442,0.35000000000000003
joe  biden  wciska amerykanom  że pospieszne spiedalanie z placu boju jest wielkim sukcesem a nie wygrana wojna biden  coś ty  usa uczynił,2021-08-31 21:16:02+00:00,pl,Joe Biden presses the Americans that hurriedly spinning from the Battle Square is a great success and not win the Biden War. ,0.23333333333333336,0.3833333333333333
prezydent  usa joe  biden  broni decyzji o wycofaniu się z afganistanu  mówił że jedynym celem misji była walka z terroryzmem factcheck a także budowa struktur państwa  president  biden  defends afghan  withdrawal decision ,2021-08-31 21:08:35+00:00,pl,President US Joe Biden defends the decision to withdraw from Afghanistan said that the only goal of the mission was to fight the terrorism of Factcheck as well as the construction of the state structures of President Biden Defends Afghan withdrawal Decision ,0.0,1.0
prezydent  usa joe  biden  twierdzi że ewakuacja ponad  tysięcy osób z afganistanu  była ogromnym sukcesem usa jednak nie zabrały z kraju wszystkich afga ńczyków którzy zgłosili się do ewakuacji  joe  biden  says afghanevacuation was a great success ,2021-08-31 21:06:58+00:00,pl,"US President Joe Biden claims that the evacuation of over thousands of people from Afghanistan was a huge US success, however, they did not take all AFGA from all AFGA who came to evacuate Joe Biden Says Afghanevacuation was a great success ",0.45,0.4125
prezydent  przeszłości słowa w czasie przeszłym ameryka  nie wróciła lecz się cofnęła  biden  biden disaster  ,2021-08-31 20:42:18+00:00,pl,"The president of the past words during the past of the past America did not come back, but the Biden Biden Disaster undeaspied ",-0.1875,0.1875
dodajmy   obywateli amerykańskich i dziesiątki tysięcy współpracowników pozostawionych w afganistanie  biden  ,2021-08-31 20:36:16+00:00,pl,Add us American citizens and tens of thousands of colleagues left in Afghanistan Biden ,0.0,0.0
mo że to i przemówienie historyczne ale do chwalebnych nie należygdy  wygłasza się przemówienie które zamyka dwie dekady działań wojennych zakończonych powrotem talibów pozostawieniem sprzętu wojskowego  i zapamiętanych przez świat jako ewakuacja trudno mówić o sukcesie biden ,2021-08-31 20:23:36+00:00,pl,You can and a historical speech but to glorious do not deserve a speech that closes two decades of war operations ended with the back of the Taliban to leave military equipment and memorized by the world as evacuation hard to talk about the success of Biden ,-0.018333333333333347,0.12833333333333333
nie  zadziałało 🤷‍♂ tragifarsa  biden  usa afganistan  ,2021-08-31 19:58:44+00:00,pl,NO 🤷♂ Tragifars Biden USA Afghanistan ,0.0,0.0
biden  nie ma sobie nic do zarzucenia prezydent  usa ewakuacja  z afganistanu  nie była misją wojenną ale misją miłosierdzia ,2021-08-31 19:50:17+00:00,pl,Biden has nothing to complain about the US president evacuation from Afghanistan was not a war mission but the mission of mercy ,0.0,0.0
✅ lat temu afgański tłumacz mohammed  pomógł uratować bidena  i dwóch innych senatorówktórzy utknęli w dolinie afgańskiej po tymjak ich helikopter został zmuszony do lądowania podczas burzy śnieżnejteraz  mohammed  jest uwięziony i prosi bidenaby  go uratowałuratuje ⁦🤔 ,2021-08-31 19:41:08+00:00,pl,✅ years ago Afghan translator Mohammed helped to save the Biden and two other senatories were stuck in the Afghan Valley after this helicopter was forced to land during a snow stormteraz Mohammed is trapped and asks Bidenaby to marry him 🤔 ,-0.20833333333333334,0.19166666666666665
zaklinanie  rzeczywistości prezydent  biden  próbuje zmienić porażkę w sukces nie  mówi o błędach popełnionych na przełomie  pozosta ła mu tylko wiara w skuteczność rezolucji onz afganistan ,2021-08-31 19:37:47+00:00,pl,Soleration of reality President Biden tries to change his failure to success not talking about mistakes committed on the turn left only faith in the effectiveness of the UN Afghanistan resolution ,-0.023333333333333352,0.33999999999999997
biden   amerykanie  będą z usa śledzić jak talibowie przestrzegają porozumienia  🤦‍♀,2021-08-31 19:37:17+00:00,pl,Biden Americans will follow the US Taliban comply with the agreement 🤦♀ ,0.0,0.0
biden  bredzi o sukcesie amerykan ów którzy chcą się wydostać z afganistanu  jpr  🤦‍♀,2021-08-31 19:35:10+00:00,pl,Biden roses about the success of the Americans who want to get out of Afghanistan JPR 🤦♀ ,0.3,0.0
pilne biden na żywo słuchajcie teraz póki nie zasnął ,2021-08-31 19:30:23+00:00,pl,Urgent Biden live Listen now while he did not fall asleep ,0.13636363636363635,0.5
biden  znów bredzi,2021-08-31 19:29:26+00:00,pl,Biden will again ,0.0,0.0
skre ślają jedne zdania i dopisują inne zapewne  kłócą się teraz o to co ma biden  powiedzieć problemy  z wystąpieniem potus  spore  kolejne opóźnienie strategia  komunikacyjna white house  zawodzi afganistan  ,2021-08-31 19:25:11+00:00,pl,SKRE slips some sentences and add others probably arguing now what he has a bidard to say problems with a spares of potus a lot more delay communication strategy white house fails Afghanistan ,0.0,0.26666666666666666
ciekawi  mnie morale amerykańskich żołnierzy gdy widzą takie obrazy biden ,2021-08-31 19:14:20+00:00,pl,I am interested in Morale of American soldiers when they see such Biden images ,0.08333333333333333,0.3333333333333333
pzuchowski  niezale żnie od tego co powie biden   nie da się ukryć załamania międzynarodowej pozycji us skutkiem  utrata prestiżu a nawet powagi jako mocarstwa spos ób ewakuacji z afganistan  widzi cały świat to  punkt zwrotny w polityce międzynarodowej politicalcartoons ,2021-08-31 18:25:14+00:00,pl,"Pzuchowski, irrespective of what Biden says, can not be concealed by the collapse of the international position of the US resulting in the loss of prestige and even the seriousness as a power to evacuate from Afghanistan sees the whole world is a turning point in international politicalcartoons ",0.06666666666666667,0.13333333333333333
usarmy  porzuciła psy służbowe na kabul aiport   wiele  osób pomstuje na biden  za tą sytuację ale czy ton on kazał jej tam zostawić nie  moim zdaniem ta sytuacja dużo mówi o kondycji amerykańskiej armii🤦‍♂skoro porzuca ona swoich psich przyjaciół ,2021-08-31 17:39:38+00:00,pl,"Usarmy abandoned business dogs for Aiport's kabul. Many people are squeezing on Blesso for this situation but whether tone he ordered her to leave there not in my opinion, this situation says a lot about the condition of the American armii🤦♂skoro gave her dog friends ",0.25,0.25
odwr ót z afganistan  to wielka klęska usa i kolejny dowód słabości tego kraju okaza ło się że waszyngton  przecenił własne siły  mówił w rozmowie z pap europoseł prof zdzis ław krasnod ębski  biden  talibowie   ,2021-08-31 15:00:04+00:00,pl,Reverse of Afghanistan is a great USA and another proof of the weakness of this country turned out that Washington overwhelmed his own forces spoke in a conversation with PAP MEP PROF Zdzis Ław Krasnod oversee Biden Taliban ,0.7,0.875
bweglarczyk onet wiadomosci  bweglarczyk biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-31 09:02:00+00:00,pl,BWeglarczyk Onet Messages Bweglarczyk Biden's defeat USA Peace gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
bweglarczyk onet wiadomosci  bweglarczyk joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-31 09:01:41+00:00,pl,BWeglarczyk Onet Messages BWeglarczyk Joe Biden Thirsty Isis Certainly shadowed with Fear Afghanishan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,0.21428571428571427,0.5714285714285714
bweglarczyk onet wiadomosci  bweglarczyk owoce  joe  bodena  afganistan  drugim wietnamem   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-31 09:01:25+00:00,pl,BWeglarczyk Onet Messages BWeglarczyk Fruit Joe Boden Afghanistan Second Vietnam Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
wczoraj  zaczęło krążyć foto⤵ jednak prawdziwe service  dogs porzucone w afganistanie  bo musieli zdążyć uciec do  decyzją biden a straszne  słuszne powszechne oburzenie uświadamia też inną katastrofę o tysiącach porzuconych przerażonych afga ńczykach już zapomniano ,2021-08-31 08:34:00+00:00,pl,"Yesterday began to circulate Photo⤵, however, the real Dogs serviced abandoned in Afghanistan because they had to escape to the decision of Biden and the terrible right common indignation aware of the other disaster with thousands of abandoned terrified AFGA already forgotten ",-0.11488095238095238,0.493452380952381
tak  supermocarstwo i wzór demokracji troszczy się o bezbronnych i słabych ale  w mediach i tak usłyszysz że biden  to najlepszy prezydent usa a trump  to był diabeł  ,2021-08-31 08:10:15+00:00,pl,Yes Supermoty and the pattern of democracy cares for defenseless and weak but in the media and so you will hear that Biden is the best US president and Trump was a devil ,0.075,0.5750000000000001
trzeba  przyznać w ostatnich dniach skupiliśmy się na błędnych decyzjach nieporadności i pustych żenujących sloganach biden a lecz  wczorajszy występ sekretarza  state  dept  blinken a to zdobyty szczyt cynizmu i pustosłowia ukrad ł koronę i część blasku bidenowi  ,2021-08-31 07:50:13+00:00,pl,"We have to admit in recent days, we focused on erroneous decisions of the clumsy and empty embarrassing slogans of Biden and but yesterday's performance of the secretary State Dept Blinken and this is the peak of cynicism and the bidden of the crown and part of the Biden glow ",-0.225,0.4375
margare  monika karolinaa  kogo  oni wybrali na prezydenta usa jprdl śpioch biden  ,2021-08-31 07:32:19+00:00,pl,Margarie Monika Karolinaa Who did they choose on President US JPRDL Sleepioch Biden ,0.0,0.0
cz łonkowie rodzin zamordowanych amerykan ów w kabulu  krzyczały do biden  mam nadzieję że spłoniesz w piekle ,2021-08-31 06:04:03+00:00,pl,Człęków Families murdered Americans in Kabul screamed to Biden I hope you burn in hell ,0.0,0.0
biden  o dalszych działaniach wieszwięcej ,2021-08-31 05:22:21+00:00,pl,Biden with further activities HOW HOW ,0.0,0.5
biden  zako ńczenie misji w afganistanie   sierpnia było zalecane przez wszystkich dowódców ,2021-08-31 04:03:12+00:00,pl,Biden End of Mission in Afghanistan August was recommended by all commanders ,0.0,0.0
taliban  uzbrojony przez administrację biden a bawi się nowymi zabawkami ciesz ą się nie tylko z setek tysięcy karabinów tysięcy pojazdów etc helikopter ów wcześniej nie mieli  widać radzą sobie ,2021-08-30 22:55:32+00:00,pl,Taliban armed by the administration of Biden and the new toys are entertaining not only from hundreds of thousands of thousands of thousands of vehicles ETC helicopter that they did not have to be seen ,0.21212121212121213,0.7181818181818181
prezydent  usa joe  biden  zapowiedział że wygłosi przemówienie na temat zakończenia misji w afganistanie  we wtorek po południu czasu wschodnioamerykańskiego,2021-08-30 22:53:56+00:00,pl,US President Joe Biden announced that he would give a speech on the completion of the mission in Afghanistan on Tuesday afternoon of East-American time ,0.0,0.0
zako ńczenie misji ewakuacyjnej w afganistanie   sierpnia było rekomendowane przez wszystkich dowódców wojskowych na miejscu  oznajmił prezydent usa joe  biden  doda ł że był to najlepszy sposób by ochronić siły usa i cywili,2021-08-30 22:51:53+00:00,pl,The finishing mission of the evacuation mission in Afghanistan of August was recommended by all military commanders on the spot announced President US Joe Biden added that it was the best way to protect the strength of the US and civilians ,0.45,0.2
biden  tylko patrzał na zegarek tusk  i komorowski  rechotali kiedy przyleciały trumny  smole ńsk  afganistan  ,2021-08-30 21:52:17+00:00,pl,Biden just looked at Tusk and Komorowski watched when they came to the coffin of the pammolan Sensus Afghanistan ,0.0,0.0
pytanie  do biden administration   ile  wyniesie wartość offsetu dla taliban  przy darmowym zakupie  amerykańskiej broni za  mld usd afganistan  biden ,2021-08-30 19:42:19+00:00,pl,Question to Biden Administration How much will the value of offset for Taliban for free purchase of an American weapon for billion USD Afghanistan Biden ,0.20000000000000004,0.3333333333333333
jack posobiec  bidens legacy  ,2021-08-30 18:34:41+00:00,pl,jack posobiec  bidens legacy ,0.0,0.0
pu łkownik hanif  rezai  były rzecznik  korpusu shaheen  armii afgańskiej w rozmowie telefonicznej ze sky  news  odrzucił oskarżenia prezydenta usa joe  biden  pod adresem sił zbrojnych że to one są odpowiedzialne za powrót talibowie  afganistan   ,2021-08-30 16:30:00+00:00,pl,"PU Łódz Hanif Rezai was the Ombudsman for the Shaheen Afghan Army in a telephone conversation with Sky News, rejected the accusations of President USA Joe Biden at the address of the armed forces that they are responsible for the return of the Taliban Afghanistan ",0.2,0.55
prezydent  usa joe  biden  odwiedził bazę sił lotniczych w dover  w stanie delaware  by uczestniczyć w ceremonii przekazania ciał żołnierzy zabitych w niedawnym zamachu w kabul  i spotkać się z ich rodzinami  wi ęcej na paradyzja   ,2021-08-30 15:05:18+00:00,pl,US President Joe Biden visited the database of air forces in Dover in Delaware to participate in the ceremony of handing over the bodies of soldiers killed in a recent coup in Kabul and meet their families for paradotia ,-0.1,0.125
biden  ktry twierdzi że nie ma sobie nic do zarzucenia co do afganistan  szczyci się w ostatnich dniach że pod jego okiem trwa największa i intensywna operacja ewakuacyjna tu  łamie własne standardy bo nie zważa ile  ona generuje jakby  to się nagle nie liczyło,2021-08-30 14:24:06+00:00,pl,Biden who claims that there is nothing to complain about Afghanistan in recent days that under his eye there are the largest and intense evacuation operation here breaks his own standards because he does not pay how much she generates as if it suddenly did not count ,0.2,0.5900000000000001
woj sadurski  jaki ż kontrast z płomiennym przemówieniem bidena  nt szczepień po którym zaszczepiono milion osób każdego dnia przez  kolejne dni dodatkowo  biden  twierdzi że wolność to odpowiedzialność ale  oni mają prezydenta   szczepimy si ę koronawirus rynekzdrowia nps,2021-08-30 12:52:53+00:00,pl,"Sadurian province, what a contrast with a flaming speech of Bidena NT vaccination after which a million people have been vaccinated every day for the next days, additional biden claims that freedom is responsibility but they have the president, we are vaccinated with Koronavirus RynekZdrowy NPS ",0.0,0.0
trzeba  jasno powiedzieć że biden  jest takim samym katolikiem jak tusk  na  pokaz i tylko w pracy po  godzinach jest śmierdzącym lewakiem zwolennikiem aborcji eutanazji i zboczeń ,2021-08-30 12:10:18+00:00,pl,It must be clearly said that Biden is the same Catholic as Tusk for a show and only at work after hours is a smelly leftist an advocate of the abortion of euthanasia and perverts ,0.010000000000000004,0.4416666666666667
bweglarczyk onet wiadomosci  bweglarczyk biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:18:58+00:00,pl,BWeglarczyk Onet Messages Bweglarczyk Biden's defeat USA Peace gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
bweglarczyk onet wiadomosci  bweglarczyk joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:18:43+00:00,pl,BWeglarczyk Onet Messages BWeglarczyk Joe Biden Thirsty Isis Certainly shadowed with Fear Afghanishan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,0.21428571428571427,0.5714285714285714
bweglarczyk onet wiadomosci  bweglarczyk owoce  joe  bodena  afganistan  drugim wietnamem   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:18:29+00:00,pl,BWeglarczyk Onet Messages BWeglarczyk Fruit Joe Boden Afghanistan Second Vietnam Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
onet wiadomosci  onet wiadomosci  zbrodnicze  i barbarzyńskie rządy talib ów perfidnie wykorzystujące religię pami ętnik młodej kilkunastoletniej dziewczyny sprzed  lat  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:16:11+00:00,pl,Onet Names Onet Memorial Messages and Barbaric Governments Talib This Perfectly Using Religion Memory Flower of Young Torque Girls from years ago Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.55,0.7
onet wiadomosci  onet wiadomosci  biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:15:57+00:00,pl,Onet Messages Onet Messages Biden Defeat USA Peace Gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
onet wiadomosci  onet wiadomosci  joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:15:42+00:00,pl,Onet Memoves Onet Messages Joe Biden Threatens ISIS Certainly Shamped With Fear Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,0.21428571428571427,0.5714285714285714
talibowie  z dnia na dzień przejęli sprzęt wojskowy warty  mld dol gdyby śmy chcieli go od nich odkupić musielibyśmy wydać cały nasz budżet obronny przez kolejnych  lat skala  porażki amerykan ów jednak szokuje biden  afganistan  usarmy  ,2021-08-30 10:08:30+00:00,pl,"Taliban from day to day took over military equipment worth billion if we wanted to buy it from them, we would have to spend all our defensive budget for the next years, the scale of the Americans, however, shocked Biden Afghanistan usars ",-0.125,0.25
polsat news pl polsat news pl biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:02:30+00:00,pl,POLSAT NEWS PL POLSAT NEWS PL BEDEN DEFITS USA GO Peace Gives Power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,0.0,0.0
polsat news pl polsat news pl joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:02:17+00:00,pl,POLSAT NEWS PL POLSAT NEWS PL Joe Biden threatens ISIS will definitely shake with the fear of Afghanishtan Trump Biden USA Taliban Taliban Terror Afghul Kabul Aiport ,0.0,0.5
