Text,Datetime,Translation,Language,Polarity,Subjectivity
 lopezobrador revela que donald  trump  y vladimir putin  le ofrecieron ayuda cuando enfermó de covid  ,2021-08-31 23:55:03+00:00,Lopezobrador reveals that Donald Trump and Vladimir Putin offered him help when he got sick of Covid ,es,-0.7142857142857143,0.8571428571428571
longobardi  zurdo progre vendió un alberto  moderado se tiró contra trump  y siempre contra jairbolsonaro ,2021-08-31 23:00:36+00:00,Longobardi left-handed progress sold a moderate alberto threw Trump and always against Jairbolony ,es,0.0,0.7
los  únicos tratamientos seguros y efectivos para el virus chino al menos según el gobierno y las grandes farmacéuticas son las mascarillas faciales fabricadas en china  y las inyecciones de donald  padre de la vacuna de trump  operation  warp  speed ,2021-08-31 22:57:31+00:00,The only safe and effective treatments for the Chinese virus at least according to government and large pharmaceuticals are facial masks manufactured in China and Donald injections Father of Trump Operation Warp Speed vaccine ,es,0.14489795918367346,0.446938775510204
amlo menciona esta polémica al narrar que le propuso a trump  eliminar las comisiones del envío de remesas en una llamada del  de marzo de  ,2021-08-31 22:17:09+00:00,AMLO mentions this controversy when narrated that he proposed to Trump to eliminate remittance commissions on a March call ,es,0.0,0.0
soscuba  soscaracas   your  boy  trump  never did storm caracas  or havana ,2021-08-31 22:12:13+00:00,soscuba  soscaracas   your  boy  trump  never did storm caracas  or havana ,es,0.0,0.0
la  administraci ón biden  los ha dejado ab andonados en afganistan   son  heroes americanos que debieron ser llevados a su casa si  trump  hubiera hecho esto eh  save america  ,2021-08-31 22:01:46+00:00,The Biden Administration has left them abandoned in Afghanistan are American heroes who had to be taken home if Trump had done this Eh Save America ,es,0.0,0.0
amlo revela que había un pacto de silencio con trump  sobre el muro fronterizo  ,2021-08-31 21:35:04+00:00,AMLO reveals that there was a covenant with Trump on the border wall ,es,0.0,0.0
trump  promovió a varios jueces que hoy están en la corte  suprema   con una visión conservadora  y antimigrante ya  van varias decisiones en contra de este sector vulnerable como la reinstalación del programa permaneceen méxico aristegui online  ,2021-08-31 21:05:39+00:00,Trump promoted several judges who are today in the Supreme Court with a conservative and antimictive vision and several decisions against this sector vulnerable as the reinstatement of the program remains Mexico Aristegui Online ,es,-0.16666666666666666,0.16666666666666666
lópez obrador confiesa pacto de silencio con trump  amlo trump  pacto    ,2021-08-31 20:45:02+00:00,López Obrador Confects Silence Pact with Trump AMLO TRUMP Covenant ,es,0.0,0.0
los  mismos que decían que trump  era la marioneta de putin  no rímeme ningún problema en aceptar que biden  se fue de los talibán y de sus promesas y viceversa afghanistan  taliban  terror  biden  putin  trump ,2021-08-31 20:34:21+00:00,The same ones who said that Trump was the Putin puppet does not laugh any problem in accepting that Biden left the Taliban and his promises and vice versa Afghanistan Taliban Terror Biden Putin Trump ,es,-0.049999999999999996,0.075
 noticias hoy eeuu agosto  los tienen en la mira no se esperaban es  a través de you tube  trump  biden  eeuu retirada usa  talibanes  afganistan  kabul ,2021-08-31 20:23:54+00:00,News today USA August have them in the sights were not expected is through you tube trump biden USA withdrawal use Taliban Afghanistan Kabul ,es,0.05,0.4
rusia  china  y pakist án el  fracaso ha sido estruendoso porque nada más anunciar las fuerzas occidentales el abandono de afganist án rusia  china  y pakist án han reconocido el gobierno talibán en afganist án  ahora  hemos sabido que en su día trump  excluyendo ,2021-08-31 19:58:36+00:00,Chinese Russia and Pakist The failure has been thunderous because nothing else to announce Western forces Abandonment of Afghanist Mus Russia China and Pakist have recognized the Taliban government in Afghanist now we have known that in Her Day Trump excluding ,es,-0.10555555555555557,0.09999999999999999
trump  y am lo eran más amigos de lo que se piensa y tenían un pacto de silencio sobre el muro ,2021-08-31 19:24:12+00:00,Trump and AM were more friends than what is thought and had a covenant of silence on the wall ,es,0.5,0.5
la  admon de joe biden  abandona los seres sin voz perros  pertenecientes al ejército de usa fueron abandonados en jaulas en kabul  manera cruel d pagar su servicio al ejercitoen el olvido quedo la actuación d trump  cuando condecoro a conan  perro  q capturo a bin landen  vía  ,2021-08-31 19:15:17+00:00,Joe Biden's admon leaves the beings without voice dogs belonging to the US Army were abandoned in cages in Kabul Cruel Fashion D Paying his service to the Exercise the Oblivion I remain Action d Trump when Dececoro a Conan dog Q CAPTURO A BIN LANDEN VIA ,es,-0.45,0.55
