Text,Datetime,Translation,Language,Polarity,Subjectivity
biden  wystąpił ponownie powtórzył co zawsze w skróciegtgt  operacja wycofywania z afganistan  to wielki sukces  winę ponosi trump   tak nie pomyłka mniej więcej tak uparcie powtarza że to się logiki nie trzyma inna rzecz ,2021-08-31 23:05:16+00:00,Biden once again repeated what always in the abbreviate the operation of withdrawal from Afghanistan is a great success blame a trump so not a mistake more or less so stubbornly repeats that this logic does not hold a different thing ,pl,0.2866666666666667,0.3833333333333333
stop  blaming trump crazy potus,2021-08-31 19:36:46+00:00,stop  blaming trump crazy potus ,pl,-0.6,0.9
bweglarczyk onet wiadomosci  bweglarczyk biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-31 09:02:00+00:00,BWeglarczyk Onet Messages Bweglarczyk Biden's defeat USA Peace gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.0,0.0
bweglarczyk onet wiadomosci  bweglarczyk joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-31 09:01:41+00:00,BWeglarczyk Onet Messages BWeglarczyk Joe Biden Thirsty Isis Certainly shadowed with Fear Afghanishan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,pl,0.21428571428571427,0.5714285714285714
bweglarczyk onet wiadomosci  bweglarczyk owoce  joe  bodena  afganistan  drugim wietnamem   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-31 09:01:25+00:00,BWeglarczyk Onet Messages BWeglarczyk Fruit Joe Boden Afghanistan Second Vietnam Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.0,0.0
tak  supermocarstwo i wzór demokracji troszczy się o bezbronnych i słabych ale  w mediach i tak usłyszysz że biden  to najlepszy prezydent usa a trump  to był diabeł  ,2021-08-31 08:10:15+00:00,Yes Supermoty and the pattern of democracy cares for defenseless and weak but in the media and so you will hear that Biden is the best US president and Trump was a devil ,pl,0.075,0.5750000000000001
ron filipkowski   trump did this,2021-08-31 02:20:09+00:00,ron filipkowski   trump did this ,pl,0.0,0.0
america  jeszcze zatęskni za trumpem  ,2021-08-31 02:19:41+00:00,America is still missing for Trump ,pl,-0.2,0.05
trump  był najlepszym prezydentem usa lat   zacz ął wycofywać żołnierzy z terenów którym usa gwarantowało bezpieczeństwo czyli nieskończoną wojnę domową,2021-08-30 17:25:21+00:00,Trump was the best US president began to withdraw soldiers from the areas which the USA guaranteed security or an infinite home war ,pl,1.0,0.3
mężowie stanu z mądrymi i pięknymi żonami gwarancja  praworządności i elegancji  andrzej duda   trump  ,2021-08-30 10:35:24+00:00,State husbands with wise and beautiful wives. Guarantee of the rule of law and elegance Andrzej Duda Trump ,pl,0.7749999999999999,0.95
bweglarczyk onet wiadomosci  bweglarczyk biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:18:58+00:00,BWeglarczyk Onet Messages Bweglarczyk Biden's defeat USA Peace gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.0,0.0
bweglarczyk onet wiadomosci  bweglarczyk joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:18:43+00:00,BWeglarczyk Onet Messages BWeglarczyk Joe Biden Thirsty Isis Certainly shadowed with Fear Afghanishan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,pl,0.21428571428571427,0.5714285714285714
bweglarczyk onet wiadomosci  bweglarczyk owoce  joe  bodena  afganistan  drugim wietnamem   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:18:29+00:00,BWeglarczyk Onet Messages BWeglarczyk Fruit Joe Boden Afghanistan Second Vietnam Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.0,0.0
onet wiadomosci  onet wiadomosci  zbrodnicze  i barbarzyńskie rządy talib ów perfidnie wykorzystujące religię pami ętnik młodej kilkunastoletniej dziewczyny sprzed  lat  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:16:11+00:00,Onet Names Onet Memorial Messages and Barbaric Governments Talib This Perfectly Using Religion Memory Flower of Young Torque Girls from years ago Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.55,0.7
onet wiadomosci  onet wiadomosci  biden  porażką usa go łąb pokoju  daje władzę diabłom   afghanishtan  trump  biden  usa taliban  taliban terror  afganistan ,2021-08-30 10:15:57+00:00,Onet Messages Onet Messages Biden Defeat USA Peace Gives power Devils Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan ,pl,0.0,0.0
onet wiadomosci  onet wiadomosci  joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:15:42+00:00,Onet Memoves Onet Messages Joe Biden Threatens ISIS Certainly Shamped With Fear Afghanishtan Trump Biden USA Taliban Taliban Terror Afghanistan Kabul Aiport ,pl,0.21428571428571427,0.5714285714285714
polsat news pl polsat news pl joe  biden  grozi isis z pewnością trzęsą się ze strachu  afghanishtan  trump  biden  usa taliban  taliban terror  afganistan  kabul  kabul aiport ,2021-08-30 10:02:17+00:00,POLSAT NEWS PL POLSAT NEWS PL Joe Biden threatens ISIS will definitely shake with the fear of Afghanishtan Trump Biden USA Taliban Taliban Terror Afghul Kabul Aiport ,pl,0.0,0.5
decyzj ę o wycofaniu sił amerykańskich z afganistanu  w  podjął trump  to  także administracja trumpa  podjęła bezpośrednie negocjacje z talibami z pominięciem oficjalnych władz w kabulu  trump  rozumiał właśnie toczego nie rozumiał redaktorgazety  polskie  wojna  była przegrana ,2021-08-30 06:58:39+00:00,The decision to withdraw American forces from Afghanistan in TROMP was also the TRUMPA administration undertook direct negotiations with the Taliban with omitting the official authorities in the TROMP Kabul understood that he did not understand the editakgazeta Polish war was loser ,pl,0.05,0.2
papi trumpo  wewant trump back now  trump  ,2021-08-30 06:11:30+00:00,papi trump we want trump back now trump ,pl,0.0,0.0
trump  rekomenduje szczepionki trump  agitates for vaccination   covid  together we are free  nwo usa freedom march  genocide  depopulation  ostatnia prosta  szczepimysie nie szczepimy sie  plandemia  ,2021-08-29 17:56:38+00:00,Trump Recommends Trump Agitary for Vaccination Covid Together We Are Free NO USA Freedom March Genocide Depopulation Last Simple Szczepimie Do not vaccinate Plakemia ,pl,0.13333333333333333,0.407936507936508
ciekawe  do ść popularne wśród wyborców trump  i co ważne znów wzrasta poparcie dla trump  ,2021-08-29 11:39:41+00:00,"I wonderly popular among Trump voters and what is important again, support for Trump ",pl,0.5,0.95
ron jay  nbcnews  trump ,2021-08-29 11:25:42+00:00,ron jay  nbcnews  trump ,pl,0.0,0.0
chikadze  crushes barboza  in statement tko win breakingnews news china trump biden photo barboza  chikadze  crushes edson barboza  espn giga chikadze  mma news statement tko ufc win ,2021-08-29 05:58:56+00:00,Chikabens Barphes Barrow In Statement Tiko Win Breaking Swump Photo Barrow Barpipe Espzilee Espzelilee MMA NEWS UPCY UFC WINN ,pl,0.8,0.4
bpmsolarczyk jslusarek wol ę boga   proszę bardzo    copernicus  heresy rt mojamisja flat earth  pozna ń catholic twitter  nasa lie trump ,2021-08-29 04:14:16+00:00,BPMSolarczyk JSlusarek Wight God Please ALL COPERNICUS HERE RT MYMISTI FLAT EARTH METHOD NATION CATHOLIC TWITTER NASA LIE TRUMP ,pl,-0.0125,0.1125
ron filipkowski  trump ,2021-08-29 00:27:59+00:00,Ron Filipkowski Trump. ,pl,0.0,0.0
rzecznik taliban u posiada aktywne konto na twitterze gdy w tym czasie do platform social mediów dostępu nie ma donald  trump  ,2021-08-28 21:59:09+00:00,The Taliban U spokesperson has an active Twitter account when at this time do not have Donald Trump at this time to the social access media platforms ,pl,-0.05,0.3333333333333333
jakim  cudem całe odium za zamach na lotnisku w kabulu  spadło na bidena  przecie ż to trump  w  r doprowadził do uwolnienia z pakistańskiego więzienia mułły baradara  taliba  z którym w lutym  r podpisał porozumienie o wycofaniu wojsk usa z afganistanu  ,2021-08-28 19:17:57+00:00,"How a whole Odium after the attack on the airport in Kabul, after all, TRUMP in R led to the release from the Pakistani prison of Muły Baradar Taliba with whom in February R signed an agreement on the withdrawal of US troops from Afghanistan ",pl,0.2,0.4
spos ób wyjścia usa z afganistanu  był najgłupszym ruchem w historii ameryki  a wojskowi dowódcy i prezydent joe  biden  skupieni są bardziej na lewicowej ideologii niż bezpieczeństwie  stwierdził prezydent donald  trump   wi ęcej na paradyzja   ,2021-08-28 17:23:33+00:00,The way of US departure from Afghanistan was the stupidest movement in the history of America and the military commander and president Joe Biden focused are more on the leftist ideology than the safety stated President Donald Trump. ,pl,0.11666666666666668,0.39999999999999997
donald  trump  w czwartek ostro skrytykował styl w jakim joe biden  wyprowadza wojska usa z afganistanu    za  moich czasów wycofywanie wojsk z afganistanu  było dopięte na ostatni guzik  stwierdził trump   nigdy  bym na to nie pozwolił  skwitował  ,2021-08-28 15:59:05+00:00,"Donald Trump on Thursday hardly criticized the style in which Joe Biden leads out the US army from Afghanistan for my time to withdraw the troops from Afghanistan was attached to the last button stated Trump, I would never let it change ",pl,-0.14583333333333334,0.30416666666666664
macierewicz a w  administracja bidena  bardzo drastycznie zaczęła zmieniać politykę poprzez decyzje dot afganistanu  i nord stream  te  dwie decyzje podważyły całą stabilną strukturę jaką kształtował trump ,2021-08-28 11:15:12+00:00,"Macierewicz and in the Biden administration very dramatically began to change policies through the decisions of DOT Afghanistan and Nord Stream, these two decisions undermined the entire stable structure that TROMP shaped ",pl,0.1,0.4625
 ecology now dpkaszubowski  mazur artur  wiertelak makala  michal sztybel  lysy niedzwiedz   tpblaszczyk  culturovo tomasz piasecki  charzynskikarol zieloni piraci  rundfunk europa  adamlubanski tyczynskik kamil heyka  greg    nie  sądzę aby odpuścili  poza  tym biden  jest pierwszą i ostatnią kadencją trump  chce wrócić a harris  jest niewybieralna  kto  wie może ao c  ❓,2021-08-28 10:14:52+00:00,Ecology Now Dkajubowski Mazur Artur Kier Tętelek Makala Michal Sztybel Lysy Bear Tpblaszczyk Culturovo Tomasz Piasecki Charzynskikarol Zieloni Pirates Rundfunk Europa Adamlubanski Tyczynskik Kamil Heyka Greg I do not think that Biden is the first and last term of the trump wants to come back and Harris is unquestionable who knows can Ao C ❓ ,pl,0.1125,0.125
słyszę że dziadzia  dżołk biden  chce teraz wziąć odwet na zamachowcach w afganistan  bior ąc pod uwagę wyczucie tego lidera wolnego świata🤡 obawiam się czy nie nakaże zbombardować pakistanu  albo  uzbekistanu   usa trump  america  democracy,2021-08-27 23:11:58+00:00,"I hear that the Gardens Biden's journal now wants to take revenge on the assassins in Afghanistan, taking into account the feeling of this leader of the free world - I am afraid or will not order Zombór Pakistan or Uzbekistan USA TRUMP AMERICA DEMOCRACY ",pl,3.700743415417188e-17,0.6
czy  ktoś sądzi że entuzjaści biden a mają mu coś do zarzucenia niemo żliwe oznacza łoby że byli głupcami jakie  rozwiązanie znaleźli proste  i spójne z antytrumpowskim ostrzałem  to trump  zarządził wycofanie w angielskojęzycznych wpisach roi się od takich jak ten ,2021-08-27 22:12:25+00:00,"Did anyone think that biden enthusiasts and they have something to complain about it, I am a foul for him that they were foolishness that the solution found simple and consistent with the anti-Summer firing, TRUMP ordered withdrawing in the English-speaking entries roi from such as this one ",pl,0.08333333333333333,0.36904761904761907
pozew  złożony przez policjantów nie zostawia na trumpie  i jego ekstremistycznych zwolennikach suchej nitki  trump  biden  usa kapitol   ,2021-08-27 18:07:00+00:00,A lawsuit made by policemen does not leave on the trump and his extremist followers of the dry thread of Trump Biden USA Kapitol ,pl,-0.06666666666666665,0.6
spos ób przeprowadzenia wyjścia usa z afganistan  był „najgłupszym ruchem w historii ameryki  a wojskowi dowódcy i prezydent joe  biden  skupieni są bardziej na lewicowej ideologii niż bezpieczeństwie  stwierdził w wywiadzie donald  trump   ,2021-08-27 17:00:02+00:00,"The way to carry out the USA output from Afghanistan was ""the stupidest movement in the history of America and the military commanders and president Joe Biden focused are more on leftist ideology than the safety stated in the interview Donald Trump ",pl,0.11666666666666668,0.39999999999999997
anna sarzynska  sami demokraci przyznają że sam sposób przeprowadzenia ewakuacji był organizacyjną porażką sama  decyzja o wycofaniu zapadła jeszcze za donalda  trumpa  ale przeprowadzenie jej w tak chaotyczny sposób spada na bidena  afganistan ,2021-08-27 16:11:34+00:00,"Anna Sarzynska Sami Democrats admit that the way the evacuation itself was the organizational failure of the decision to withdraw the decisive for Donald Trump, but conducting it in such a chaotic way falls to Biden Afghanistan ",pl,-0.15833333333333335,0.4
dziecko  by to zrozumiało trump  to   dorzeczy,2021-08-27 16:10:56+00:00,A child to understand this trump is basins ,pl,0.0,0.0
onet wiadomosci  szkoda  mi prezydenta potus  to wszystko zaczął trump  a teraz wszyscy mają pretensję do obecnego prezydenta   ,2021-08-27 12:23:08+00:00,Onet Messages Damage to Mi President Potus It all began Trump and now everyone has a grudge against the present president ,pl,0.0,0.0
 kto  sprzedał trump  ,2021-08-27 11:19:03+00:00,Who sold Trump ,pl,0.0,0.0
nigdy  nie powinno się dopuścić do tragedii która wydarzyła się w kabulu   napisał w oświadczeniu poprzedni prezydent usa donald  trump   wi ęcej na paradyzja   ,2021-08-27 09:03:32+00:00,You should never let the tragedy that happened in Kabul wrote in a statement former US President Donald Trump Więcie for paradogue ,pl,0.0,0.0
waszczykowski w w  kwestię zakończenia wojny w afganistanie  rozpoczął prezydent trump  w zeszłym roku ale  na prezydencie bidenie  spoczywa obowiązek przeprowadzenia tego wycofania się i ewakuacji,2021-08-27 08:22:35+00:00,"Waszczykowski in the question of the end of the war in Afghanistan began President Trump last year, but the president's bending rests the obligation to carry out this withdrawal and evacuation ",pl,0.0,0.06666666666666667
wasiukiewicz j ale  zapomniał dodać że i tak wszyscy nie zdążą ci  co nie zdążą zostaną bohaterami na  pewno będą zadowoleni biden  trump   tvpinfo  wkontrze,2021-08-27 08:18:36+00:00,Wasiukiewicz J But he forgot to add that everyone will not let you know what will not be the heroes will surely be satisfied with the Biden Trump TVPinfo in Conquer ,pl,0.5,1.0
bo że błogosław ameryk ę trump  biden  kabul  ,2021-08-27 07:28:40+00:00,Goddy Blessed America Trump Biden Kabul ,pl,0.0,0.0
artur dziambor  w  o ewakuacji z afganistan  dla usa jako strażnika bezpieczeństwa światowego wygląda to jak totalna kapitulacja niby  usa przygotowywały się do niej latami ale mam wrażenie że administracja trumpa  nie pozwoliłaby żeby to wyglądało w ten sposób,2021-08-27 06:32:05+00:00,Artur Dymbor in about evacuation from Afghanistan for the US as a world security guard looks like a total capitulation of the USA was preparing for her for years but I have the impression that the Trump administration would not let it look like this way ,pl,0.0,0.75
